time,V(vcap),I(C1)
0,0.000000001,1E-29
0.00001,0.000000001,0
1.00000497827905E-05,0.000000001,-5.396421E-21
1.00000499740776E-05,0.000000001000025,0.000000009048577
1.00000500296988E-05,0.00000000100008,0.0000000183865
1.00000500752305E-05,0.000000001000174,0.00000002439414
0.0000100001,0.000000003954316,0.000001159041
1.00038887566441E-05,0.00002091381,0.00008722401
1.00076775132881E-05,0.00008242961,0.0001731986
1.00114662699322E-05,0.0001845514,0.0002590829
1.00152550265762E-05,0.0003272791,0.0003448769
1.00190437832203E-05,0.0005106128,0.0004305805
1.00228325398643E-05,0.0007345524,0.0005161937
1.00266212965084E-05,0.0009990979,0.0006017166
1.0053144211847E-05,0.003784738,0.001198185
1.0093144211847E-05,0.01066559,0.00209118
1.0133144211847E-05,0.02079947,0.00297576
1.0173144211847E-05,0.0344523,0.003850659
1.0213144211847E-05,0.05158428,0.004715328
1.0253144211847E-05,0.07215338,0.005569225
1.0293144211847E-05,0.09611548,0.006411826
1.0333144211847E-05,0.1234244,0.007242615
1.0373144211847E-05,0.1540318,0.008061092
1.0413144211847E-05,0.1878875,0.00886677
1.0453144211847E-05,0.2249394,0.009659173
1.0493144211847E-05,0.2651334,0.01043784
1.0533144211847E-05,0.3084137,0.01120233
1.0573144211847E-05,0.3547228,0.0119522
1.0613144211847E-05,0.4040012,0.01268703
1.0653144211847E-05,0.4561881,0.01340643
1.0693144211847E-05,0.511221,0.01411
1.0773144211847E-05,0.6295668,0.01546818
1.0853144211847E-05,0.758509,0.01675875
1.0933144211847E-05,0.8974962,0.01797912
1.1053144211847E-05,1.123557,0.01967306
1.1173144211847E-05,1.368932,0.02119708
1.12760013547041E-05,1.596517,0.02236645
1.13788584975613E-05,1.831977,0.02340098
1.14817156404184E-05,2.075309,0.02430069
1.15845727832756E-05,2.326516,0.02506557
1.16874299261327E-05,2.585596,0.02569562
1.17902870689898E-05,2.85255,0.02619085
1.1893144211847E-05,3.127378,0.02655124
1.20360013547041E-05,3.517317,0.02680247
1.21788584975613E-05,3.90089,0.02682465
1.23217156404184E-05,4.278098,0.02661778
1.24645727832756E-05,4.648939,0.02618185
1.26074299261327E-05,5.013414,0.02551686
1.27502870689898E-05,5.371523,0.02462282
1.2893144211847E-05,5.723265,0.02349973
1.30188584975613E-05,6.015066,0.02235471
1.31445727832755E-05,6.288663,0.02111244
1.32702870689898E-05,6.544056,0.01977292
1.33960013547041E-05,6.781244,0.01833615
1.35217156404184E-05,7.000227,0.01680213
1.36474299261327E-05,7.201007,0.01517086
1.3773144211847E-05,7.383582,0.01344234
1.38645727832755E-05,7.500956,0.01216394
1.39560013547041E-05,7.606373,0.01087719
1.40474299261327E-05,7.699832,0.009582081
1.41388584975612E-05,7.781333,0.008278626
1.42302870689898E-05,7.850877,0.006966818
1.43217156404184E-05,7.908463,0.00564666
1.4413144211847E-05,7.954092,0.004318149
1.4453144211847E-05,7.970189,0.003744156
1.4493144211847E-05,7.984026,0.003173298
1.4533144211847E-05,7.995604,0.002605575
1.4573144211847E-05,8.004922,0.002040987
1.4613144211847E-05,8.011981,0.001479534
1.4653144211847E-05,8.01678,0.0009212156
1.4693144211847E-05,8.01932,0.0003660324
1.4733144211847E-05,8.019684,-0.0001837467
1.4773144211847E-05,8.017859,-0.0007287154
1.4853144211847E-05,8.007722,-0.001802813
1.4933144211847E-05,7.989084,-0.002853515
1.5053144211847E-05,7.945627,-0.004379971
